index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
164,164,edisonn164.xlsx,GMM,5000,10,4,2:40,uniform,0.1,1,500,0,164,23,5,23,8,5,4,4,2,23,2,4,5,23,2
165,165,edisonn165.xlsx,GMM,5000,10,4,2:40,uniform,0.1,5,500,0,165,5,5,21,8,5,4,5,4,23,2,4,5,21,4
166,166,edisonn166.xlsx,GMM,5000,10,4,2:40,uniform,0.3,1,500,0,166,13,5,22,8,4,3,4,3,7,23,4,4,3,2
167,167,edisonn167.xlsx,GMM,5000,10,4,2:40,uniform,0.3,5,500,0,167,5,5,23,8,5,4,5,4,23,2,4,5,23,4
168,168,edisonn168.xlsx,GMM,5000,10,5,2:40,uniform,0.1,1,500,0,168,21,6,24,10,6,6,6,4,24,2,6,6,24,2
169,169,edisonn169.xlsx,GMM,5000,10,5,2:40,uniform,0.1,5,500,0,169,6,6,24,10,6,5,5,2,24,4,5,6,2,2
170,170,edisonn170.xlsx,GMM,5000,10,5,2:40,uniform,0.3,1,500,0,170,23,5,24,8,5,5,8,4,13,2,5,9,13,14
171,171,edisonn171.xlsx,GMM,5000,10,5,2:40,uniform,0.3,5,500,0,171,24,5,24,8,5,5,5,2,24,4,5,5,2,2
172,172,edisonn172.xlsx,GMM,5000,10,6,2:40,uniform,0.1,1,500,0,172,22,5,25,14,5,5,8,4,25,2,5,8,25,2
173,173,edisonn173.xlsx,GMM,5000,10,6,2:40,uniform,0.1,5,500,0,173,9,6,25,10,6,6,9,2,23,3,2,9,2,2
174,174,edisonn174.xlsx,GMM,5000,10,6,2:40,uniform,0.3,1,500,0,174,20,6,25,10,6,6,8,4,13,2,6,6,13,15
175,175,edisonn175.xlsx,GMM,5000,10,6,2:40,uniform,0.3,5,500,0,175,11,6,25,10,6,6,6,2,25,3,2,25,2,2
176,176,edisonn176.xlsx,GMM,5000,10,7,2:40,uniform,0.1,1,500,0,176,25,8,26,14,8,8,8,2,26,2,8,8,26,2
177,177,edisonn177.xlsx,GMM,5000,10,7,2:40,uniform,0.1,5,500,0,177,8,8,26,14,8,8,8,3,26,2,8,8,26,2
178,178,edisonn178.xlsx,GMM,5000,10,7,2:40,uniform,0.3,1,500,0,178,26,7,26,12,7,7,10,4,11,25,7,10,11,16
179,179,edisonn179.xlsx,GMM,5000,10,7,2:40,uniform,0.3,5,500,0,179,8,8,26,14,8,8,8,3,26,2,8,8,26,2
